kode,nama_makanan,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitamin_c_mg,status_makanan,kelompok_makanan,meal_type
GR022,"Cumi-cumi, segar",75,16.1,0.7,0.1,0,32,200,1.8,37,204.1,1.6,1.3,0,0.08,0,2.5,0,Tunggal,Ikan dsb,Makan Malam
GR023,"Ikan daun, segar",101,11.5,4.1,4.6,0,80,210,0.8,120,270,0.1,0.9,0,0.08,0.07,0.1,0,Tunggal,Ikan dsb,Makan Malam
GR024,"Ikan ekor kuning, segar",108,22.3,1.2,2.1,0,30,220,0.5,50,230,0.1,0.6,40,0,0.1,0.2,0,Tunggal,Ikan dsb,Makan Malam
GR025,"Ikan gabus, segar",80,16.2,0.5,2.6,0,170,139,0.1,65,254,0.3,0.4,335,0.4,0.2,0.1,0,Tunggal,Ikan dsb,Makan Malam
GR026,"Ikan Heu, segar",81,10,1.6,6.6,0,191,990,2.1,240,210,0.1,2.7,0,0.87,0,0.2,0,Tunggal,Ikan dsb,Makan Malam
GR027,"Ikan hitam, segar",101,10.3,3.7,6.7,0,50,140,0.4,70,210,0,0.4,67,0,0.1,0.1,0,Tunggal,Ikan dsb,Makan Malam
GR028,"Ikan hiu, segar",57,10.7,0.3,2.2,0,75,206,2,0,0,0.02,0,0,0.05,0,0,0,Tunggal,Ikan dsb,Makan Malam
GR029,"Ikan kacangan, segar",77,15.6,0.9,1.6,0,94,170,1.7,0,0,0,0,18,0.07,0,0,0,Tunggal,Ikan dsb,Makan Malam
GR030,"Ikan kakap, segar",92,20,0.7,0,0,20,200,1,0,0,0,0,9,0.05,0,0,0,Tunggal,Ikan dsb,Makan Malam
GR031,"Ikan kakatua, segar",82,11.4,1.2,6.4,0,20,160,0.4,90,300,0.1,0.3,18,0,0,0.2,0,Tunggal,Ikan dsb,Makan Malam
GR032,"Ikan kalaban, segar",77,16.4,0.7,1.3,0,182,248,0.9,40,334,0.7,0.8,0,0.16,0.15,1.9,0,Tunggal,Ikan dsb,Makan Malam
GR033,"Ikan Kamera, segar",86,19.7,0.8,0,0,50,170,0.3,90,290,0.3,0.1,26,0,0.08,0.1,0,Tunggal,Ikan dsb,Makan Malam
GR034,"Ikan kapar, segar",132,17,6.7,0.8,0,151,272,1.2,78,229,0.9,0.7,0,0.07,0.03,0,0,Tunggal,Ikan dsb,Makan Malam
GR035,"Ikan kawalinya, segar",110,12.6,4.2,5.4,0,80,300,1.5,340,300,0.2,1.4,146,0,0,0.2,0,Tunggal,Ikan dsb,Makan Malam
GR036,"Ikan oci, kembung, segar",125,21.3,3.4,2.2,0,136,69,0.8,214,245,0.2,1.1,0,0.26,0.03,0.2,0,Tunggal,Ikan dsb,Makan Malam
GR037,"Keong, segar",64,12,1,2,0,217,78,1.7,231,9,0.37,0.1,0,0,0,0,0,Tunggal,Ikan dsb,Makan Malam
GR038,"Kepiting, segar",151,13.8,3.8,14.1,0,210,250,1.1,0,0,0,0,61,0.05,0,0,0,Tunggal,Ikan dsb,Makan Malam
GR039,"Kerang, segar",101,14.4,2.6,3.9,0,321,270,15.6,0,0,0,0,0,0.01,0,0,0,Tunggal,Ikan dsb,Makan Malam
GR040,"Ikan keru-keru, segar",93,16.5,2.1,0.8,0,65,217,2.4,137,255.3,0.34,0.7,0,0.01,0.09,1.6,0,Tunggal,Ikan dsb,Makan Malam
GR041,"Ikan kima, segar",70,10.8,0.7,5.2,0,53,72,2,342,101,0.5,0.5,401,0.22,0.05,5.8,0,Tunggal,Ikan dsb,Makan Malam
GR042,"Kodok, segar",73,16.4,0.3,0,0,18,147,1.1,0,0,0,0,0,0.14,0,0,0,Tunggal,Ikan dsb,Makan Malam
GR043,"Kura-kura, segar",83,19.1,0.2,0,0,27,87,0.7,0,0,0,0,0,0.2,0,0,0,Tunggal,Ikan dsb,Makan Malam
GR044,"Kuro, segar",87,16,2.2,1,0,75,136,1,0,0,0,0,6,0.04,0,0,0,Tunggal,Ikan dsb,Makan Malam
GR045,"Ikan lais, segar",161,11.9,11.5,2.4,0,70,237,0,0,0,0,0,0,0.05,0,0,0,Tunggal,Ikan dsb,Makan Malam
GR046,"Ikan layang, segar",109,22,1.7,0,0,50,150,2,0,0,0,0,45,0.05,0,0,0,Tunggal,Ikan dsb,Makan Malam
GR048,"Ikan lehoma, segar",90,20.4,0.9,0,0,88,270,0.7,56,281,0.3,0.9,1047,0.32,0.03,0.2,0,Tunggal,Ikan dsb,Makan Malam
GR049,"Ikan lemuru, segar",112,20,3,0,0,20,100,1,0,0,0,0,30,0.05,0,0,0,Tunggal,Ikan dsb,Makan Malam
GR050,"Ikan lidah, segar",104,15.6,3.2,2,0,30,143,2,0,0,0,0,33,0.03,0,0,0,Tunggal,Ikan dsb,Makan Malam
GR051,"Lokan, segar",217,11,1.7,5.1,0,20,390,10.9,3,7,0.2,2.7,0,0.45,0.07,0,0,Tunggal,Ikan dsb,Makan Malam
GR052,"Ikan malalugis, segar",99,20.6,1.4,0.9,0,164,330,0.5,76,282,0.2,0.9,661,0.3,0.02,0.5,0,Tunggal,Ikan dsb,Makan Malam
GR053,"Ikan mamar merah, segar",115,15.3,4,4.4,0,60,190,1.6,120,240,0.2,1,0,0.2,0.1,0.1,0,Tunggal,Ikan dsb,Makan Malam
GR054,"Ikan mas, segar",86,16,2,0,0,20,150,2,65,276.7,0.1,1.1,45,0.05,0.1,2.6,0,Tunggal,Ikan dsb,Makan Malam
GR055,"Ikan mayong, segar",97,17.9,2,0.4,0,40,100,2.5,0,0,0,0,21,0.1,0,0,0,Tunggal,Ikan dsb,Makan Malam
GR056,"Ikan mujahir, segar",89,18.7,1,0,0,96,209,1.5,51,265.8,0,0.2,6,0.03,0.1,2,0,Tunggal,Ikan dsb,Makan Malam
GR057,"Ikan nasu metti, segar",154,16.8,5,10.5,0,80,244,1.6,421,488,0.2,1.2,0,0.47,0.15,9.6,0,Tunggal,Ikan dsb,Makan Malam
GR058,"Ikan paling, segar",303,14,27,0,0,20,200,1,43,0,0,0,485,0.1,0,0,2,Tunggal,Ikan dsb,Makan Malam
GR059,"Ikan papuyu/ betok, segar",120,14.3,4.9,4.6,0,329,436,1.5,240,169,0.8,1.1,0,0,0.05,3.1,0,Tunggal,Ikan dsb,Makan Malam
GR060,"Ikan Patin, segar",132,17,6.6,1.1,0,31,173,1.6,77,346,0.7,0.8,0,0.2,0.03,1.7,0,Tunggal,Ikan dsb,Makan Malam
GR061,"Ikan pomo, segar",147,22.5,5.2,2.6,0,80,230,1.3,0,380,0.2,0.7,89,0,0,0,0,Tunggal,Ikan dsb,Makan Malam
GR062,"Ikan Puntin, segar",76,14.4,1.1,2.2,0,28,166,0,0,325,0.1,0.6,0,0.31,0.11,0,0,Tunggal,Ikan dsb,Makan Malam
GR063,"Rajungan, segar",76,12.1,2,2.4,0,721,214,2.2,69,192,1.7,2.9,599,0.2,0.25,0.2,0,Tunggal,Ikan dsb,Makan Malam
GR064,"Rebon, udang kecil, segar",81,16.2,1.2,0.7,0,757,292,2.2,169,202.9,0.7,1.2,18,0.04,0.1,2.4,0,Tunggal,Ikan dsb,Makan Malam
GR065,"Ikan saluang, segar",113,13.9,4.9,3.4,0,642,646,1.9,51,182,0.8,3.6,0,0.21,0.02,1.8,0,Tunggal,Ikan dsb,Makan Malam
GR066,"Ikan sarden, segar",109,19.9,1.8,3.4,0,95,597,1.3,266,227,0.3,2,195,0.26,0.03,4.4,0,Tunggal,Ikan dsb,Makan Malam
GR067,"Ikan selar, segar",100,18.8,2.2,0,0,40,179,0.5,43,392.6,0.1,0.3,45,0.37,0.2,3.4,0,Tunggal,Ikan dsb,Makan Malam
GR068,"Ikan sepat, segar",84,15.2,0.6,4.7,0,68,171,2.1,211,198,0.7,0.6,0,0.16,0.03,1.9,0,Tunggal,Ikan dsb,Makan Malam
GR069,"Ikan sidat, segar",81,11.4,1.9,3.8,0,118,174,3,46,245.9,0,1.5,15,0,0.4,3.2,0,Tunggal,Ikan dsb,Makan Malam
GR070,"Ikan sunu, segar",111,13.3,3.4,6.7,0,86,174,1.2,91,197,0,0.6,309,1.03,0.1,0.2,0,Tunggal,Ikan dsb,Makan Malam
GR071,"Ikan tahuman, segar",88,15.9,0.9,4.1,0,221,223,0,24,364,0.4,0.7,0,0.2,0.25,1.6,0,Tunggal,Ikan dsb,Makan Malam
GR072,"Ikan Sale, segar",534,40.2,39.3,4.9,2,199,1244,2.7,673,673,0.3,2.6,0,0.02,0.5,0,0.2,Tunggal,Ikan dsb,Makan Malam
GR073,"Ikan tarmon, segar",96,19.5,1.1,2,0,9,129,0.3,43,154,0.1,0.5,0,0.15,0.02,1.7,0,Tunggal,Ikan dsb,Makan Malam
GR074,"Ikan telan, segar",95,15.8,0.7,6.5,0,503,354,0.2,58,294,1.6,1.2,0,0.18,0.02,1.9,0,Tunggal,Ikan dsb,Makan Malam
GR075,"Ikan tembang, segar",204,16,15,0,0,20,200,2,341,291,0.4,2.6,30,0.05,0,5.6,0,Tunggal,Ikan dsb,Makan Malam
GR076,"Ikan tempahas, segar",101,15.1,4.1,1,0,32,163,0,50,320,0.7,0.6,0,0.02,0.05,1.5,0,Tunggal,Ikan dsb,Makan Malam
GR077,"Ikan terbang, segar",98,19.6,1.7,1,0,90,190,0.6,90,320,0.1,0.5,39,0,0.1,0.1,0,Tunggal,Ikan dsb,Makan Malam
GR078,"Ikan teri, segar",74,10.3,1.4,4.1,0,972,253,3.9,554,126.1,305.2,0.2,13,0.24,0.1,1.9,0,Tunggal,Ikan dsb,Makan Malam
GR079,"Ikan titang, segar",82,17.4,0.4,2.3,0,145,130,1.8,110,275,0.1,0.8,581,0.64,0.03,1.5,0,Tunggal,Ikan dsb,Makan Malam
GR080,"Ikan tongkol, segar",100,13.7,1.5,8,0,92,606,1.7,202,227,0.2,1.6,181,0.35,0.03,6.6,0,Tunggal,Ikan dsb,Makan Malam
GR081,"Ikan turi, segar",96,19.2,2,0.2,0,340,340,0.8,370,300,0.1,2,26,0,0,0,0,Tunggal,Ikan dsb,Makan Malam
GR082,"Udang, besar, segar",56,11.4,0.6,1.2,0,30,20,0.3,190,210,0.4,0.8,0,0.14,0,0.1,0,Tunggal,Ikan dsb,Makan Malam
GR083,"Udang galah, segar",81,16.5,0.3,3,0,87,167,0.7,95,132,0.7,1.2,0,0.24,0.03,2.9,0,Tunggal,Ikan dsb,Makan Malam
GR084,"Udang, segar",91,21,0.2,0.1,0,136,170,8,178,222.4,0.3,1.3,18,0.01,0.4,3.7,0,Tunggal,Ikan dsb,Makan Malam
GP012,"Ikan Gabus, kering",268,58,4,0,0,15,100,0.1,0,0,0,0,30,0.1,0,0,0,Olahan,Ikan dsb,Makan Malam
GP016,"Ikan kayu, kering",302,70.7,1.9,0.4,0,313,22,4.1,345,1045,0,1.8,0,1.4,0.04,20,0,Olahan,Ikan dsb,Makan Malam
DR055,"Daun melinjo, segar",104,5,1.3,21.3,10.3,219,82,4.2,12,604.8,0.4,0.6,0,0.09,0,0,182,Tunggal,Sayur,Makan Siang
DR057,"Daun ndusuk, segar",166,1.7,0.5,38.8,10.7,40,20,1.8,40,310,0.2,0.7,0,0.4,0.1,0.1,30,Tunggal,Sayur,Makan Siang
DR072,"Daun singkong ambon, segar",144,12.7,1.2,25.2,10.2,165,54,3.9,44,62.2,0.2,5.4,0,0.21,1,4.2,220,Tunggal,Sayur,Makan Siang
DR093,"Jengkol, segar",192,5.4,0.3,40.7,1.5,4,150,0.7,60,241,0.3,0.6,0,0.05,0.2,0.5,31,Tunggal,Sayur,Makan Siang
DR095,"Kabau, segar",130,6.7,0.3,25.2,2.9,4,204,0.5,1,397.8,0.2,0.5,0,0.8,0.1,0.3,16,Tunggal,Sayur,Makan Siang
DR106,"Kelawi,kluwih, segar",118,1.5,0.3,27.2,5,28,32,0.9,2,500.9,0.09,0.1,0,0.1,0.03,0.9,19,Tunggal,Sayur,Makan Siang
BR016,"Ketela pohon/ singkong, segar",154,1,0.3,36.8,0.9,77,24,1.1,2,394,0.3,0.4,0,0.06,0.1,0.5,31,Tunggal,Umbi,Makan Siang
BR027,"Talas viqueque, segar",115,1.8,0.5,25.9,8.6,50,220,0.9,1,70,0.3,1,0,0.08,0.1,0.9,0,Tunggal,Umbi,Makan Siang
FP069,"Sop daging sapi, masakan",49,5.8,0.5,5.3,0,158,48,2.2,391,0,0,0,101,0.37,0,0,0,Olahan,Daging,Makan Siang
FP074,"Soto bandung, masakan",42,3.9,1.7,2.8,0.4,74,75,1.8,0,0,0,0,6,0,0,0,0,Olahan,Daging,Makan Siang
GR047,"Ikan layur, segar",82,18,1,0.4,0,48,229,2.2,0,0,0,0,4,0.04,0,0,0,Tunggal,Ikan dsb,Makan Siang
DR008,"Bayam, segar",16,0.9,0.4,2.9,0.7,166,76,3.5,16,456.4,0.13,0.4,0,0.04,0.1,1,41,Tunggal,Sayur,Makan Siang
DR013,"Buncis, segar",34,2.4,0.3,7.2,1.9,101,42,0.7,8,250,0.07,0.3,0,0.05,0.4,2.8,11,Tunggal,Sayur,Makan Siang
DR016,"Caisin, segar",20,1.7,0.4,3.4,1.2,123,40,1.9,18,358.2,0.05,1.4,0,0.04,0.19,0.6,3,Tunggal,Sayur,Makan Siang
BR028,"Ubi jalar, kuning, segar",119,0.5,0.4,25.1,4.2,30,40,0.4,3,1,0.1,0.2,0,0.06,0.07,0.7,0,Tunggal,Umbi,Makan Siang
FP040,"Bulgogi, masakan",72,11.4,4.9,1.4,1.7,214,86,2.5,509,0,0,0,17,1.08,0,0,0,Olahan,Daging,Makan Siang
FP061,"Rawon, masakan",60,5.4,2.5,4,0.3,272,153,3.3,0,0,0,0,11,0.09,0,0,0,Olahan,Daging,Makan Siang
FP068,"Sop buntut, masakan",71,7.5,3.6,2.2,0,286,38,3.2,490,0,0,0,119,0.14,0,0,0,Olahan,Daging,Makan Siang
FP070,"Sop kaki sapi, masakan",68,9,1.9,3.7,0,302,15,2.2,435,0,0,0,48,0.46,0,0,0,Olahan,Daging,Makan Siang
FP072,"Sop konro, masakan",71,7.4,2.6,4.5,0,17,60,4.6,184,25,0.3,1.3,0,0.12,0.02,10.9,0,Olahan,Daging,Makan Siang
FP079,"Soto madura, masakan",60,3.5,4.5,1.3,0,361,126,3.8,0,0,0,0,26,0.06,0,0,0,Olahan,Daging,Makan Siang
FP082,"Soto pemalang, masakan",75,3.6,5.2,3.5,0,170,80,2.1,0,0,0,0,16,0.13,0,0,0,Olahan,Daging,Makan Siang
FP085,"Sukiyaki, masakan",75,5.6,0.4,12.2,0.2,109,59,0.5,426,0,0,0,41,0.37,0,0,0,Olahan,Daging,Makan Siang
FP043,"Coto mangkasara, kuda, masakan",96,6.8,5.9,3.8,0,11,106,2.3,96,31,0.1,1,0,0.23,0.14,4.2,0,Olahan,Daging,Makan Siang
FP044,"Coto mangkasara, sapi, masakan",84,6,6,1.4,0,8,104,4,90,25,0.3,0.6,0,0.16,0.14,10.3,0,Olahan,Daging,Makan Siang
FP073,"Sop saudara, masakan",89,7.2,5,3.9,0,10,174,9,274,50,0.2,1.1,0,0.09,0.12,2,0,Olahan,Daging,Makan Siang
FP077,"Soto jeroan, masakan",92,11.8,4.3,1.4,0,218,48,1.9,363,0,0,0,85,0.36,0,0,0,Olahan,Daging,Makan Siang
FP081,"Soto pekalongan, masakan",94,3,6.8,5.1,0.3,322,79,2,0,0,0,0,14,0.29,0,0,0,Olahan,Daging,Makan Siang
FP083,"Soto sukaraja, masakan",80,3.2,3.5,9,0.3,347,77,2.3,0,0,0,0,12,0.04,0,0,0,Olahan,Daging,Makan Siang
FP084,"Soto sulung, masakan",86,2.3,8.5,0,0,200,120,2.9,0,0,0,0,20,0.08,0,0,0,Olahan,Daging,Makan Siang
FP086,"Tedong pallu basa, masakan",83,10.4,3.4,2.8,0,10,139,2.6,397,34,0.6,1.3,0,0.09,0.53,9,0,Olahan,Daging,Makan Siang
FP036,Beef burger,258,10.6,9.5,32.5,0.4,210,157,2.6,572,189.1,0,0,218,0.95,0,0,0,Olahan,Daging,Makan Siang
FP045,"Djibokum, masakan",248,10,2.3,40.9,0.1,116,110,2.8,401,0,0,0,52,0.75,0,0,0,Olahan,Daging,Makan Siang
FP060,"Pelolah manuk, masakan",219,19.7,13.6,4.4,0,33,160,1.6,577,0,0,0,137,0.42,0,0,0,Olahan,Daging,Makan Siang
FP042,"Chikiniku, masakan",143,9.8,1.4,22.8,0.4,301,63,2,531,0,0,0,27,0.73,0,0,0,Olahan,Daging,Makan Siang
FP048,"Jangang bintatoeng, masakan",107,5.3,2.2,16.5,0,64,61,2.5,482,406,0.2,0.8,0,0.18,0.02,3.4,0,Olahan,Daging,Makan Siang
FP054,"Lawar penyu, masakan",141,23,1.5,7.6,0,69,141,6,0,0,0,0,0,0.1,0,0,0,Olahan,Daging,Makan Siang
FP055,"Lawara jangang, masakan",159,5,10.9,10.1,0,57,107,1.5,400,2368,0.1,1,14,0.25,0.16,0,0,Olahan,Daging,Makan Siang
FP057,"Nasu likku, masakan",196,14.5,8.3,15.9,0,69,157,1,386,470,0.3,2,0,0.2,0.24,1.5,0,Olahan,Daging,Makan Siang
FP058,"Oramu ninahu ndawa olaho, masakan",117,13.7,5,4.3,0,964,804,2,0,727,0.3,1.5,4095,0.77,0.04,1.7,0,Olahan,Daging,Makan Siang
FP064,"Sate, penyu, masakan",179,22.5,3.5,13.3,0,187,238,14.4,0,0,0,0,0,0.1,0,0,0,Olahan,Daging,Makan Siang
FP066,"Penyu, serapah, masakan",174,13.1,12.2,2.2,0,72,186,9.5,0,507,0.8,2.4,1302,0,0,0,0,Olahan,Daging,Makan Siang
FP001,"Ayam, ampela, goreng",270,32.3,11.2,9.9,0,129,314,4.9,980,0,0.12,3.3,56,0.21,0,4.7,0,Olahan,Daging,Makan Siang
FP002,"Ayam, usus, goreng",473,45.2,26.3,13.9,0,1407,458,8.4,0,0,0,0,6,0.57,0,0,0,Olahan,Daging,Makan Siang
FP003,"Bebek, daging, goreng",300,24,20.7,4.5,0,170,170,4.1,34,6,0.4,3,0,0.1,0.4,10.6,0,Olahan,Daging,Makan Siang
FP009,"Punai, daging, goreng",224,26.2,11.3,4.4,0,362,362,3.1,2,19,0.3,1.6,0,0,0,0,0,Olahan,Daging,Makan Siang
FP011,"Sapi, abon",212,18,10.6,59.3,7.5,150,209,12.3,0,0,0,0,0,0.17,0,0,0,Olahan,Daging,Makan Siang
FP012,"Sapi, abon, asli",358,14.6,16.1,38.6,2.5,165,136,14.6,0,0,0,0,3,0.13,0,0,0,Olahan,Daging,Makan Siang
FP013,"Sapi, daging, asap",182,32,6,0,0,15,300,5,162,485.4,0.03,5.1,6,0.12,0.23,5.9,0,Olahan,Daging,Makan Siang
FP015,"Sapi, daging, kornet",289,16,25,0,0,10,170,4,794,94.4,0.07,4,0,0.01,0.16,2.7,0,Olahan,Daging,Makan Siang
FP016,"Sapi, daging, sosis (Worst)",448,14.5,42.3,2.3,0,28,61,1.1,765,284.5,0.06,1.7,0,0.1,0.18,4.9,0,Olahan,Daging,Makan Siang
FP017,"Sapi, hati, sosis (liverworst)",274,16,22,3,2.3,20,150,4,654,158.8,0.22,2.2,1201,0.2,0.96,4,0,Olahan,Daging,Makan Siang
FP019,"Sapi, paru, goreng",268,23.9,12.7,14.5,0,102,315,8.8,923,299,0,1.5,790,0,0,0,0,Olahan,Daging,Makan Siang
FP020,"Ulat sagu, panggang",380,11.9,30.3,14.9,4.8,30,120,1.5,260,550,3.1,14.2,0,0.5,2.5,0.1,0,Olahan,Daging,Makan Siang
FP021,"Ayam goreng church texas, dada",338,35.2,20.6,0.4,0,79,221,5.6,800,369.5,0.16,1.1,16,0.52,0.16,12.1,0,Olahan,Daging,Makan Siang
FP022,"Ayam goreng church,texas paha",287,31,15.7,1.7,0,99,176,4.1,723,257,0.17,1.5,22,0.66,0.2,5.3,0,Olahan,Daging,Makan Siang
FP023,"Ayam goreng church texas, sayap",295,34,16,1.5,0,81,179,3,771,237.2,0.16,1.2,13,0.44,0.13,6.2,0,Olahan,Daging,Makan Siang
FP024,"Ayam goreng kalasan, paha",275,37.4,12.2,1.3,0,116,237,5.8,176,321.9,0.16,1.5,10,0.1,0,0,0,Olahan,Daging,Makan Siang
FP025,"Ayam goreng kentucky, dada",298,34.2,16.8,0.1,0,90,284,5.5,741,342,0.07,1,36,0.19,0,0,0,Olahan,Daging,Makan Siang
FP026,"Ayam goreng Kentucky, paha",286,32.1,16.1,1.1,0,89,248,6.9,746,265.2,0.09,2.3,31,0.5,0.21,5.5,0,Olahan,Daging,Makan Siang
FP027,"Ayam goreng Kentucky,sayap",297,35.9,15.2,1.6,0,103,227,4.4,807,248.4,0.06,1.4,22,0.73,0.14,6.5,0,Olahan,Daging,Makan Siang
FP028,Ayam goreng mbok berek dada,295,39.2,13.6,1,0,114,278,5.4,0,0,0,0,8,0.19,0,0,0,Olahan,Daging,Makan Siang
FP029,"Ayam goreng pasundan, dada",246,37.9,9,0.7,0,90,260,7.5,0,0,0,0,6,0.16,0,0,0,Olahan,Daging,Makan Siang
FP030,"Ayam goreng pasundan, paha",245,33.1,11.4,0.3,0,90,283,7.3,0,0,0,0,8,0.37,0,0,0,Olahan,Daging,Makan Siang
FP031,"Ayam goreng pioneer, dada",295,37.4,14.7,0.6,0,108,236,6.8,0,0,0,0,16,0.1,0,0,0,Olahan,Daging,Makan Siang
FP032,"Ayam goreng sukabumi, dada",244,36.7,9.2,1,0,81,154,6.1,0,0,0,0,20,0.66,0,0,0,Olahan,Daging,Makan Siang
FP033,"Ayam goreng sukabumi, paha",283,35.7,14.3,0.5,0,68,106,5.4,0,0,0,0,11,0.36,0,0,0,Olahan,Daging,Makan Siang
FP034,"Ayam taliwang, masakan",264,18.2,20.1,2.7,0,94,164,2,507,408,0.4,12.3,1067,0,0,0,0,Olahan,Daging,Makan Siang
FP035,"Babi hutan masak rica, masakan",491,24.6,16.3,0.2,0,18,144,1.2,1415,327,0.2,2.6,2193,0.61,0.47,0,0.2,Olahan,Daging,Makan Siang
FP037,"Beef teriyaki, masakan",151,8.6,3.1,22.3,0.3,142,62,2.3,377,0,0,0,22,0.53,0,0,0,Olahan,Daging,Makan Siang
FP038,"Beef yakiniku, masakan",132,9.8,1.1,20.7,0.3,302,67,2,409,0,0,0,78,0.62,0,0,0,Olahan,Daging,Makan Siang
FP039,Brongkos,141,15.3,3.3,12.6,1,87,97,5.1,0,0,0,0,4,0.4,0,0,0,Olahan,Daging,Makan Siang
FP041,"Chicken teriyaki, masakan",168,13,9.6,7.5,0.8,137,106,3.1,959,0,0,0,68,0.65,0,0,0,Olahan,Daging,Makan Siang
FP046,"Empal (daging) Goreng, masakan",248,36.2,6.9,10.1,0,131,235,6.4,848,0,0,0,112,0.55,0,0,0,Olahan,Daging,Makan Siang
FP047,Gulai kambing,126,4.2,9.4,6.2,0,45,73,1.3,302,138,0.2,1.1,151,0.13,0.01,0,0,Olahan,Daging,Makan Siang
FP049,"Kalio ayam, masakan",203,16,13.5,4.4,0,278,177,4.2,534,0,0,0,105,0.35,0,0,0,Olahan,Daging,Makan Siang
FP050,"Kalio jeroan, masakan",163,16.5,9,4.1,0,102,268,7.1,570,0,0,0,298,0.7,0,0,0,Olahan,Daging,Makan Siang
FP051,"Kalio kikil (tunjang), masakan",122,13.8,5.7,3.9,0,154,59,3.4,519,0,0,0,36,0.38,0,0,0,Olahan,Daging,Makan Siang
FP052,"Kalio otak, masakan",157,8.1,8.8,11.4,0,212,69,3.3,604,0,0,0,32,0.45,0,0,0,Olahan,Daging,Makan Siang
