id,Menu,Energy (kJ),Protein (g),Fat (g),Carbohydrates (g),Dietary Fiber (g),PUFA (g),Cholesterol (mg),Vitamin A (mg),Vitamin E (eq.) (mg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B6 (mg),Total Folic Acid (Âµg),Vitamin C (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Zinc (mg),meal_type
1,bihun goreng,992,1.9,15.2,22.9,0.2,8.8,0,0,1,0.02,0.02,0.04,2,0,0,23,2,10,30,0.2,0.3,Sarapan
2,ubi jalar putih,469,2.4,0.1,26.3,1.4,0.1,0,0,6,0.12,0.03,0.26,18,14,3,348,9,30,45,0.9,0.6,Cemilan
3,martabak manis,929,2.5,17.1,15.2,0,9,85,38,1,0.01,0.11,0.02,9,0,25,26,10,2,35,0.3,0.2,Cemilan
4,mie ayam,590,4.8,0.7,28.3,1.7,0.3,0,0,0,0.02,0.02,0.04,7,0,1,31,7,18,54,0.5,0.5,Makan Siang
5,mie bakso,590,4.8,0.7,28.3,1.7,0.3,0,0,0,0.02,0.02,0.04,7,0,1,31,7,18,54,0.5,0.5,Makan Siang
6,mie basah,590,4.8,0.7,28.3,1.7,0.3,0,0,0,0.02,0.02,0.04,7,0,1,31,7,18,54,0.5,0.5,Makan Siang
7,mie kering,1360,9.6,6.4,56.6,3.4,0.7,0,0,0,0.04,0.04,0.08,14,0,2,62,14,36,108,1,1,Makan Siang
8,mie soun,1594,0.3,0.1,91.3,0.9,0,0,0,0,0,0,0,0,0,9,3,2,3,13,0.5,0.1,Makan Siang
9,misoa,1297,10.6,1.5,62.3,3.7,0.7,0,0,0,0.04,0.04,0.09,15,0,2,68,15,40,119,1.1,1.1,Makan Siang
10,nasi goreng,1046,3.5,17.2,20.1,0.2,8.9,26,10,1,0.02,0.05,0.06,4,0,9,43,5,11,44,0.3,0.5,Makan Siang
11,nasi jagung,506,2.8,0.6,27.2,1.3,0.3,0,5,0,0.1,0.04,0.05,20,2,7,117,3,21,63,0.4,0.4,Makan Siang
12,nasi liwet,544,2.4,0.2,28.6,0.3,0.1,0,0,0,0.02,0.02,0.05,2,0,0,29,3,13,37,0.2,0.4,Makan Siang
13,nasi lunak and kangkung,423,2.4,0.2,22,0.7,0.1,0,76,1,0.03,0.03,0.07,20,6,4,72,21,14,38,0.4,0.4,Makan Siang
14,nasi putih,544,2.4,0.2,28.6,0.3,0.1,0,0,0,0.02,0.02,0.05,2,0,0,29,3,13,37,0.2,0.4,Makan Siang
15,nasi putih kukus,544,2.4,0.2,28.6,0.3,0.1,0,0,0,0.02,0.02,0.05,2,0,0,29,3,13,37,0.2,0.4,Makan Siang
16,nasi soto,272,1.2,0.1,14.3,0.2,0.1,0,0,0,0.01,0.01,0.03,1,0,0,15,2,7,19,0.1,0.2,Makan Siang
17,nasi tim,490,2.2,0.2,25.7,0.3,0.1,0,0,0,0.02,0.02,0.05,2,0,0,26,3,12,33,0.2,0.4,Makan Siang
18,nasi tim ayam,586,5.8,3,21.5,0.2,0.7,12,6,0,0.03,0.05,0.08,2,0,11,49,4,13,55,0.4,0.6,Makan Siang
19,nasi tim bayam,418,2.1,0.2,21.8,0.5,0.1,0,45,0,0.02,0.02,0.05,12,4,2,52,13,12,34,0.3,0.3,Makan Siang
20,nasi tim daging,649,5.4,4.8,21.5,0.2,0.3,13,0,0,0.03,0.04,0.09,2,0,8,71,3,13,56,0.4,0.9,Makan Siang
21,nasi tim wortel kentang,439,2,0.2,23.2,0.7,0.1,0,194,0,0.03,0.02,0.09,4,2,7,82,6,13,34,0.2,0.3,Makan Siang
22,nasi uduk,494,2.1,1.5,23.5,0.6,0.1,0,0,0,0.02,0.02,0.04,3,0,1,37,3,12,34,0.3,0.4,Makan Siang
23,nastar,866,4.4,2,42.9,0.6,0.3,72,32,0,0.03,0.1,0.03,11,0,22,45,12,7,54,0.5,0.3,Cemilan
24,roti bakar meises,1188,8.6,4.3,52.5,2.7,0.7,0,0,0,0.11,0.08,0.04,30,0,579,126,11,31,106,0.6,0.9,Sarapan
25,roti isi nanas,1054,7.5,2.6,49.1,2.4,0.6,0,0,0,0.09,0.07,0.03,26,0,518,96,9,23,89,0.4,0.8,Sarapan
26,roti isi strawberry,1054,7.5,2.6,49.1,2.4,0.6,0,0,0,0.09,0.07,0.03,26,0,518,96,9,23,89,0.4,0.8,Sarapan
27,roti keju,1172,9.6,4.5,49.4,2.7,0.7,5,15,0,0.11,0.1,0.04,30,0,610,112,46,27,125,0.5,1,Sarapan
28,roti kukis,1188,8.6,4.3,52.5,2.7,0.7,0,0,0,0.11,0.08,0.04,30,0,579,126,11,31,106,0.6,0.9,Sarapan
29,roti manis,1192,7.9,2.7,56.7,2.5,0.6,0,0,0,0.1,0.07,0.04,28,0,548,102,9,24,95,0.5,0.8,Sarapan
30,roti mocca,1188,8.6,4.3,52.5,2.7,0.7,0,0,0,0.11,0.08,0.04,30,0,579,126,11,31,106,0.6,0.9,Sarapan
31,roti mukka special,1188,8.6,4.3,52.5,2.7,0.7,0,0,0,0.11,0.08,0.04,30,0,579,126,11,31,106,0.6,0.9,Sarapan
32,roti pawa rp.50,1146,8.8,3,51.9,2.8,0.7,0,0,0,0.11,0.08,0.04,31,0,609,113,10,27,105,0.5,0.9,Sarapan
33,roti pisang,615,3.3,1.3,32,2.5,0.3,0,6,0,0.07,0.09,0.42,23,6,183,311,7,28,46,0.4,0.4,Sarapan
34,roti selei nenas,1172,8.4,2.9,54.3,2.7,0.7,0,0,0,0.1,0.08,0.04,29,0,579,107,10,26,100,0.5,0.9,Sarapan
35,roti sisir,766,5,2,36,1.4,0.4,21,10,0,0.06,0.07,0.03,18,0,311,63,8,14,61,0.3,0.5,Sarapan
36,roti surabaya,766,5,2,36,1.4,0.4,21,10,0,0.06,0.07,0.03,18,0,311,63,8,14,61,0.3,0.5,Sarapan
37,roti susu,1280,10.8,6.2,51,2.5,0.7,13,50,0,0.14,0.23,0.09,33,1,598,228,113,34,177,0.5,1.2,Sarapan
38,roti tawar,1146,8.8,3,51.9,2.8,0.7,0,0,0,0.11,0.08,0.04,31,0,609,113,10,27,105,0.5,0.9,Sarapan
39,roti tawar manis,1192,7.9,2.7,56.7,2.5,0.6,0,0,0,0.1,0.07,0.04,28,0,548,102,9,24,95,0.5,0.8,Sarapan
40,gude,1335,22,1.2,57.1,15.7,0.6,0,6,0,0.29,0.26,0.2,302,0,15,777,104,125,363,4.4,2.9,Sarapan
41,jengkol,176,2.7,0.1,7.8,2.8,0.1,0,30,0,0.13,0.08,0.11,32,7,2,136,14,20,59,0.8,0.6,Sarapan
42,kacang hijau,485,7.7,0.5,20.8,6.5,0.2,0,2,0,0.2,0.06,0.1,208,0,4,278,24,53,156,2.5,1.3,Cemilan
43,kacang kapri mentah,351,5.4,0.2,15.6,5.5,0.1,0,60,0,0.26,0.15,0.22,63,14,3,271,27,39,117,1.5,1.2,Cemilan
44,kacang kapri muda mentah,351,5.4,0.2,15.6,5.5,0.1,0,60,0,0.26,0.15,0.22,63,14,3,271,27,39,117,1.5,1.2,Cemilan
45,kacang merah,1402,23,1.3,60.2,16.9,0.8,0,0,0,0.42,0.16,0.32,343,3,5,1064,74,119,375,7.7,2.9,Cemilan
46,apel,247,0.2,0.4,15.3,2.7,0.1,0,5,1,0.02,0.01,0.05,3,6,0,115,7,5,7,0.2,0,Sarapan
47,asam mangga,272,0.5,0.3,17,1.8,0.1,0,10,1,0.06,0.06,0.13,5,43,2,156,10,9,11,0.1,0,Sarapan
48,asam masak di pohon,1067,2.7,0.4,67.2,3.4,0.1,0,1,1,0.14,0.08,0.21,3,3,10,638,42,28,82,1.8,0.3,Sarapan
49,belimbing,134,0.6,0.4,7.2,0.5,0,0,37,0,0.08,0.02,0.14,2,10,2,116,8,11,9,0.2,0.1,Sarapan
50,belimbing wuluh,134,0.6,0.4,7.2,0.5,0,0,37,0,0.08,0.02,0.14,2,10,2,116,8,11,9,0.2,0.1,Sarapan
51,buah pisang susu,385,1,0.5,23.4,2.4,0.1,0,8,0,0.05,0.1,0.58,19,9,1,396,6,29,20,0.3,0.2,Sarapan
52,bungkil kelapa,1552,1.7,16.8,57.6,4.5,0.2,0,0,1,0.04,0.02,0.03,13,2,11,179,8,16,58,1.3,0.6,Sarapan
53,mangga masak,272,0.5,0.3,17,1.8,0.1,0,400,1,0.06,0.06,0.13,14,36,2,156,10,9,11,0.1,0,Sarapan
54,mangga muda,272,0.5,0.3,17,1.8,0.1,0,10,1,0.06,0.06,0.13,5,43,2,156,10,9,11,0.1,0,Sarapan
55,mangga nanas,272,0.5,0.3,17,1.8,0.1,0,400,1,0.06,0.06,0.13,14,36,2,156,10,9,11,0.1,0,Sarapan
56,mangga pakel,272,0.5,0.3,17,1.8,0.1,0,10,1,0.06,0.06,0.13,5,43,2,156,10,9,11,0.1,0,Sarapan
57,mangga sengir masak,272,0.5,0.3,17,1.8,0.1,0,10,1,0.06,0.06,0.13,5,43,2,156,10,9,11,0.1,0,Sarapan
58,mangga sepat,272,0.5,0.3,17,1.8,0.1,0,400,1,0.06,0.06,0.13,14,36,2,156,10,9,11,0.1,0,Sarapan
59,mangga telo,272,0.5,0.3,17,1.8,0.1,0,10,1,0.06,0.06,0.13,5,43,2,156,10,9,11,0.1,0,Sarapan
60,manggis,247,0.2,0.4,15.3,2.7,0.1,0,5,1,0.02,0.01,0.05,3,6,0,115,7,5,7,0.2,0,Sarapan
61,matuwa,247,0.2,0.4,15.3,2.7,0.1,0,5,1,0.02,0.01,0.05,3,6,0,115,7,5,7,0.2,0,Sarapan
62,melinjo (buah),197,0.9,0.1,11.8,2.4,0,0,8,0,0.09,0.04,0.06,30,53,0,181,40,10,14,0.1,0.1,Sarapan
63,menteng / kemundung,247,0.2,0.4,15.3,2.7,0.1,0,5,1,0.02,0.01,0.05,3,6,0,115,7,5,7,0.2,0,Sarapan
64,nanas,205,0.4,0.4,12.4,1.2,0.1,0,2,0,0.09,0.04,0.09,11,15,1,113,7,14,7,0.4,0.1,Sarapan
65,nangka masak di pohon,485,0.8,0.2,31.2,2.3,0.1,0,91,0,0.05,0.05,0.24,26,11,5,465,2,32,28,0.6,0.1,Sarapan
66,pepaya,163,0.6,0.1,9.8,1.8,0,0,135,1,0.03,0.03,0.02,38,62,3,257,24,10,5,0.1,0.1,Sarapan
67,pepaya muda mentah,92,1,0.4,4.5,2.8,0.2,0,13,0,0.06,0.06,0.11,20,20,8,97,31,8,15,0.2,0.1,Sarapan
68,pisang ambon,385,1,0.5,23.4,2.4,0.1,0,8,0,0.05,0.1,0.58,19,9,1,396,6,29,20,0.3,0.2,Sarapan
69,pisang ambon hong matang,385,1,0.5,23.4,2.4,0.1,0,8,0,0.05,0.1,0.58,19,9,1,396,6,29,20,0.3,0.2,Sarapan
70,pisang ambon mentah,385,1,0.5,23.4,2.4,0.1,0,8,0,0.05,0.1,0.58,19,9,1,396,6,29,20,0.3,0.2,Sarapan
71,pisang raja,385,1,0.5,23.4,2.4,0.1,0,8,0,0.05,0.1,0.58,19,9,1,396,6,29,20,0.3,0.2,Sarapan
72,pisang raja bandung,385,1,0.5,23.4,2.4,0.1,0,8,0,0.05,0.1,0.58,19,9,1,396,6,29,20,0.3,0.2,Sarapan
73,pisang raja bandung mentah,385,1,0.5,23.4,2.4,0.1,0,8,0,0.05,0.1,0.58,19,9,1,396,6,29,20,0.3,0.2,Sarapan
74,pisang raja kawista matang,385,1,0.5,23.4,2.4,0.1,0,8,0,0.05,0.1,0.58,19,9,1,396,6,29,20,0.3,0.2,Sarapan
75,pisang raja mentah / muda,385,1,0.5,23.4,2.4,0.1,0,8,0,0.05,0.1,0.58,19,9,1,396,6,29,20,0.3,0.2,Sarapan
76,pisang raja nangka matang,385,1,0.5,23.4,2.4,0.1,0,8,0,0.05,0.1,0.58,19,9,1,396,6,29,20,0.3,0.2,Sarapan
77,pisang raja nangka mentah,385,1,0.5,23.4,2.4,0.1,0,8,0,0.05,0.1,0.58,19,9,1,396,6,29,20,0.3,0.2,Sarapan
78,pisang raja sereh (susu),385,1,0.5,23.4,2.4,0.1,0,8,0,0.05,0.1,0.58,19,9,1,396,6,29,20,0.3,0.2,Sarapan
79,pisang raja uli,385,1,0.5,23.4,2.4,0.1,0,8,0,0.05,0.1,0.58,19,9,1,396,6,29,20,0.3,0.2,Sarapan
80,pisang rama,385,1,0.5,23.4,2.4,0.1,0,8,0,0.05,0.1,0.58,19,9,1,396,6,29,20,0.3,0.2,Sarapan
81,pisang rayap matang,385,1,0.5,23.4,2.4,0.1,0,8,0,0.05,0.1,0.58,19,9,1,396,6,29,20,0.3,0.2,Sarapan
82,pisang santen,385,1,0.5,23.4,2.4,0.1,0,8,0,0.05,0.1,0.58,19,9,1,396,6,29,20,0.3,0.2,Sarapan
83,pisang siam,485,0.8,0.2,31.2,2.3,0.1,0,91,0,0.05,0.05,0.24,26,11,5,465,2,32,28,0.6,0.1,Sarapan
84,pondoh kelapa,54,1,0.2,2.1,1.4,0.1,0,33,0,0.05,0.03,0.04,56,4,9,158,19,9,20,0.5,0.2,Sarapan
85,rambutan,205,0.4,0.4,12.4,1.2,0.1,0,2,0,0.09,0.04,0.09,11,15,1,113,7,14,7,0.4,0.1,Sarapan
86,rambutan aceh,205,0.4,0.4,12.4,1.2,0.1,0,2,0,0.09,0.04,0.09,11,15,1,113,7,14,7,0.4,0.1,Sarapan
87,salak,343,0.2,0.4,21.3,2.7,0.1,0,5,1,0.02,0.01,0.05,3,6,0,115,7,5,7,0.2,0,Sarapan
88,semangka,134,0.6,0.4,7.2,0.5,0,0,37,0,0.08,0.02,0.14,2,10,2,116,8,11,9,0.2,0.1,Sarapan
89,semangka muda,134,0.6,0.4,7.2,0.5,0,0,37,0,0.08,0.02,0.14,2,10,2,116,8,11,9,0.2,0.1,Sarapan
90,setup pepaya,163,0.6,0.1,9.8,1.8,0,0,135,1,0.03,0.03,0.02,38,62,3,257,24,10,5,0.1,0.1,Sarapan
91,sirsak,293,0.7,0.3,17.8,2.5,0.2,0,5,2,0.02,0.03,0.07,3,38,2,183,15,8,16,0.4,0.1,Sarapan
92,srikaya,331,1.2,0.2,20.2,2.2,0.1,0,4,1,0.02,0.04,0.08,2,69,3,250,21,10,23,0.5,0.1,Sarapan
93,sukun,431,1.1,0.2,27.1,4.9,0.1,0,4,1,0.09,0.03,0.3,10,29,2,490,17,25,30,0.5,0.1,Sarapan
94,alpokat,674,2,15.3,7.4,5.9,2,0,6,1,0.11,0.12,0.28,62,8,10,599,11,39,41,1,0.4,Sarapan
95,tumis buah pepaya muda belu,188,0.4,2.1,7,1.3,0,0,96,1,0.02,0.02,0.01,27,44,2,182,17,7,4,0.1,0.1,Sarapan
96,tumis bayam and sawi and timun belu,259,1.3,6.1,1.7,1.1,0.1,0,168,1,0.03,0.04,0.07,40,12,10,140,41,13,25,0.7,0.2,Sarapan
97,tumis buah labu waluh belu,130,0.1,3.1,1.2,0.4,0.1,0,56,0,0.01,0,0.01,4,1,0,61,2,1,3,0,0,Sarapan
98,tumis bayam belu,276,0.7,7.1,0.9,0.6,0.2,0,197,0,0.02,0.06,0.06,35,2,17,112,33,21,13,0.9,0.2,Sarapan
99,tomat masak,88,0.9,0.3,4.6,1.1,0.1,0,87,0,0.06,0.05,0.08,15,19,9,222,5,11,24,0.5,0.1,Sarapan
100,tumis pucuk labu waluh belu,188,0.1,5,0.5,0.3,0.1,0,61,0,0.01,0.01,0.02,13,3,3,22,15,2,3,0.1,0,Sarapan
101,tumis daun singkong belu,197,3,2.2,5.8,0.5,0.1,0,415,0,0.07,0.15,0.43,83,26,9,440,169,50,58,2.5,0.3,Sarapan
102,tumis kangkung belu,385,2.2,9.2,2,1.9,0.2,0,288,2,0.04,0.06,0.1,69,24,15,192,70,14,39,1,0.2,Sarapan
103,tumis selada air belu,816,0.4,22.1,0.8,0.6,0.4,0,13,0,0.02,0.01,0.02,22,2,4,63,8,4,8,0.2,0.1,Sarapan
104,tumis kacang panjang belu,88,0.7,1.1,2.8,1.2,0.1,0,24,0,0.03,0.04,0.02,12,4,1,108,17,9,14,0.5,0.1,Sarapan
105,tumis selada air kangkung,222,0.9,5.1,1.5,1.1,0.1,0,56,0,0.03,0.02,0.04,42,5,7,117,20,7,17,0.4,0.1,Sarapan
106,tumis sawi,117,1.7,2.1,1.6,1.5,0,0,224,2,0.03,0.04,0.08,54,19,12,149,55,11,30,0.8,0.1,Sarapan
107,tumis terong belu,100,0.7,0.2,5.7,2.2,0.1,0,5,0,0.07,0.02,0.08,12,1,3,213,5,11,19,0.3,0.2,Sarapan
108,sayur bayam jagung,155,1.6,0.5,8.3,1.3,0.2,0,168,0,0.09,0.07,0.07,43,4,19,168,28,27,42,0.9,0.3,Sarapan
109,sayur bayam wortel,79,1,0.1,4.1,1.5,0.1,0,785,1,0.03,0.07,0.13,34,3,35,166,37,22,21,0.9,0.3,Sarapan
110,sayur bening campur,138,1.2,0.3,7.5,1.5,0.2,0,473,0,0.06,0.05,0.09,27,3,24,142,20,18,32,0.6,0.2,Sarapan
111,sayur buah kelor,105,0.3,0.2,6.3,1.3,0,0,32,1,0.01,0.01,0.03,9,5,2,66,10,4,7,0.2,0,Sarapan
112,sayur caisin,46,0.5,0.2,2.3,1.4,0.1,0,7,0,0.03,0.03,0.06,10,10,4,49,16,4,8,0.1,0.1,Sarapan
113,sayur cokka-cokka,46,0.5,0.2,2.3,1.4,0.1,0,7,0,0.03,0.03,0.06,10,10,4,49,16,4,8,0.1,0.1,Sarapan
114,sayur daun kelor,33,1.2,0.1,1.1,1,0,0,152,1,0.02,0.03,0.06,37,13,8,101,37,8,21,0.6,0.1,Sarapan
115,sayur daun singkong,259,1.9,5.1,3.7,0.3,0.1,0,260,0,0.05,0.1,0.27,52,17,6,275,106,31,36,1.6,0.2,Sarapan
116,sayur gambas,126,0.1,0.2,7.7,1.4,0.1,0,3,1,0.01,0.01,0.03,2,3,0,58,4,3,4,0.1,0,Sarapan
117,sayur gulai daging,1230,17.6,23.3,3.4,1.9,1.1,61,5,0,0.06,0.11,0.29,19,1,39,317,27,29,152,2.7,3,Sarapan
118,sayur jantung pisang belu,46,0.6,0.4,2.5,1.2,0.2,0,48,1,0.01,0.01,0.03,20,4,3,75,10,1,16,0.4,0.1,Sarapan
119,sayur kangkung,46,1.6,0.1,1.5,1.4,0,0,212,1,0.03,0.04,0.08,51,18,11,141,52,11,29,0.8,0.1,Sarapan
120,sayur katuk,50,1.7,0.2,1.7,1.5,0,0,231,1,0.03,0.04,0.09,52,23,12,147,52,11,29,0.8,0.1,Sarapan
121,sayur labu,59,0.5,0.5,2.3,0.8,0.1,0,15,0,0.02,0.02,0.04,10,3,1,100,14,12,21,0.2,0.2,Sarapan
122,sayur lodeh,234,1.9,3.4,6,1.7,0.6,0,80,2,0.04,0.07,0.05,26,13,5,171,38,25,48,0.6,0.3,Sarapan
123,sayur nangka belu,276,1.3,3.5,8.7,1.9,0.1,0,0,0,0.04,0.02,0.1,13,4,4,152,17,11,36,0.4,0.3,Sarapan
124,sayur sop,435,1.8,7,10.5,3.3,0.2,0,473,1,0.07,0.05,0.1,32,3,28,213,23,24,55,1.1,0.5,Sarapan
125,sayur sop daging cincang wortel,276,6.5,1.7,5.8,0.8,0.1,14,291,0,0.03,0.04,0.12,5,0,22,115,7,10,56,0.5,1,Sarapan
126,sayur sop macaroni,531,6.5,7,10.5,1.7,2.1,8,198,1,0.05,0.05,0.11,17,2,16,157,16,26,74,0.8,0.7,Sarapan
127,sayur soun,406,4,6.4,7.2,2.1,1.6,0,6,1,0.05,0.02,0.04,37,1,3,120,14,25,64,0.9,0.6,Sarapan
128,selada air mentah,155,3.7,0.2,7.3,0.6,0.1,0,519,0,0.09,0.19,0.54,104,33,11,550,211,62,72,3.1,0.4,Sarapan
129,selada mentah,54,1,0.2,2.1,1.4,0.1,0,33,0,0.05,0.03,0.04,56,4,9,158,19,9,20,0.5,0.2,Sarapan
130,seledri,54,1,0.2,2.1,1.4,0.1,0,33,0,0.05,0.03,0.04,56,4,9,158,19,9,20,0.5,0.2,Sarapan
131,semur kentang,494,8.9,2.3,15.4,0.6,0.1,21,194,0,0.05,0.06,0.2,5,3,26,216,6,14,79,0.7,1.5,Sarapan
132,telur ceplok,799,12,15.1,1,0,4.2,403,181,2,0.07,0.48,0.11,42,0,118,120,48,10,163,1.1,1,Cemilan
133,telur dadar,782,11.5,14.7,1.2,0,4.2,382,174,2,0.07,0.47,0.11,40,0,114,120,51,10,159,1.1,1,Cemilan
134,telur goreng,799,12,15.1,1,0,4.2,403,181,2,0.07,0.48,0.11,42,0,118,120,48,10,163,1.1,1,Cemilan
135,telur asin,649,12.6,10.6,1.1,0,1.4,424,190,2,0.07,0.51,0.12,44,0,124,126,50,10,172,1.2,1.1,Cemilan
136,telur ayam,649,12.6,10.6,1.1,0,1.4,424,190,2,0.07,0.51,0.12,44,0,124,126,50,10,172,1.2,1.1,Cemilan
137,telur ayam bagian kuning,1163,19.2,20.7,2.3,0,1.8,1326,810,2,0.24,0.6,0.38,120,0,219,333,96,26,330,5.9,2.1,Cemilan
138,telur burung sawah,774,12.8,13.8,1.5,0,1.2,884,540,1,0.16,0.4,0.25,80,0,146,222,64,17,220,3.9,1.4,Cemilan
139,telur ayam bagian putih,209,10.5,0,1,0,0,0,0,0,0.01,0.45,0,3,0,164,143,6,11,13,0,0,Cemilan
140,telur itik dadar,1134,12.8,23.8,1.5,0,1.4,884,540,1,0.16,0.4,0.25,80,0,146,222,64,17,220,3.9,1.4,Cemilan
141,telur itik bagian putih,209,10.5,0,1,0,0,0,0,0,0.01,0.45,0,3,0,164,143,6,11,13,0,0,Cemilan
142,telur ikan,682,19.8,8.4,0.8,0,1.1,463,297,2,0.12,0.25,0.33,47,0,108,399,62,63,253,2.6,1,Cemilan
143,telur itik / bebek mentah,774,12.8,13.8,1.5,0,1.2,884,540,1,0.16,0.4,0.25,80,0,146,222,64,17,220,3.9,1.4,Cemilan
144,telur itik bagian kuning,2356,25.7,49.5,3,0,3.2,1824,1284,3,0.32,0.8,0.5,160,0,352,446,130,34,442,7.8,2.8,Cemilan
145,telur puyuh,774,12.8,13.8,1.5,0,1.2,884,540,1,0.16,0.4,0.25,80,0,146,222,64,17,220,3.9,1.4,Cemilan
146,telur penyu,649,12.6,10.6,1.1,0,1.4,424,190,2,0.07,0.51,0.12,44,0,124,126,50,10,172,1.2,1.1,Cemilan
147,telur merpati,774,12.8,13.8,1.5,0,1.2,884,540,1,0.16,0.4,0.25,80,0,146,222,64,17,220,3.9,1.4,Cemilan
148,telur puyuh,774,12.8,13.8,1.5,0,1.2,884,540,1,0.16,0.4,0.25,80,0,146,222,64,17,220,3.9,1.4,Cemilan
149,telur menthok,774,12.8,13.8,1.5,0,1.2,884,540,1,0.16,0.4,0.25,80,0,146,222,64,17,220,3.9,1.4,Cemilan
150,telur orak arik,711,10.4,13.3,2.4,0.4,4.3,298,137,2,0.09,0.38,0.12,50,4,92,153,51,16,143,1.1,0.9,Cemilan
151,minuman susu ultra / ultra milk,276,3.2,3.9,4.8,0,0.1,14,55,0,0.04,0.17,0.06,6,1,55,140,115,11,92,0.1,0.4,Cemilan
152,sayur telur,632,11.1,10.5,2.7,0.8,2,360,296,2,0.07,0.46,0.16,40,5,107,170,47,13,155,1.3,1,Cemilan
153,susu kambing,289,3.6,4.1,4.5,0,0.1,11,56,0,0.05,0.14,0.05,1,1,50,204,134,14,111,0.1,0.3,Cemilan
154,susu kental manis,1339,7.8,8.7,54.5,0,0.2,33,62,0,0.06,0.38,0.06,9,2,122,349,300,28,234,0.2,0.9,Cemilan
155,susu sapi,276,3.2,3.9,4.8,0,0.1,14,55,0,0.04,0.17,0.06,6,1,55,140,115,11,92,0.1,0.4,Cemilan
156,susu segar,276,3.2,3.9,4.8,0,0.1,14,55,0,0.04,0.17,0.06,6,1,55,140,115,11,92,0.1,0.4,Cemilan
157,susu skim / tak berlemak cair,146,3.4,0.2,4.9,0,0,2,1,0,0.04,0.14,0.04,5,1,52,166,123,11,101,0,0.4,Cemilan
158,abon,1318,55.1,8.9,0,0,0.4,131,0,0,0.17,0.32,0.72,13,0,118,751,10,51,429,3.8,8.9,Makan Siang
159,ampal,1146,18.2,21.5,2,0,2.6,75,1,0,0.67,0.23,0.3,3,2,55,545,90,62,424,2.5,8.4,Makan Siang
160,ati ayam,657,24.4,5.5,0.9,0,0.9,631,11325,0,0.36,2.7,0.4,590,23,51,140,14,21,312,8.5,4.3,Makan Siang
161,ayam,1192,26.9,18.9,0,0,4.2,79,39,0,0.09,0.24,0.25,5,0,73,182,13,20,180,1.4,1.8,Makan Siang
162,babat,347,14.5,2.4,0,0,0.1,35,0,0,0.05,0.09,0.19,4,0,31,198,3,14,113,1,2.4,Makan Siang
163,bakso bihun,1548,23.5,29.9,0.1,0,1.2,104,10,0,0.07,0.16,0.31,8,0,55,318,6,21,187,1.6,3.8,Makan Siang
164,bakso pentol,1548,23.5,29.9,0.1,0,1.2,104,10,0,0.07,0.16,0.31,8,0,55,318,6,21,187,1.6,3.8,Makan Siang
165,usus menthok,393,14.1,3.8,0,0,0.2,35,0,0,0.05,0.08,0.19,4,0,30,192,3,13,110,1,2.3,Makan Siang
166,uthi-uthi mentah,1146,18.2,21.5,2,0,2.6,75,1,0,0.67,0.23,0.3,3,2,55,545,90,62,424,2.5,8.4,Makan Siang
167,usus ayam,393,14.1,3.8,0,0,0.2,35,0,0,0.05,0.08,0.19,4,0,30,192,3,13,110,1,2.3,Makan Siang
