id,Menu,Energy (kJ),Protein (g),Fat (g),Carbohydrates (g),Dietary Fiber (g),PUFA (g),Cholesterol (mg),Vitamin A (mg),Vitamin E (eq.) (mg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B6 (mg),Total Folic Acid (Âµg),Vitamin C (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Zinc (mg),meal_type
331,ikan sepat kering,1046,29.5,13.8,0,0,6.1,170,80,0,0.05,0.43,0.58,10,0,780,516,660,62,624,3.5,3.6,Makan Siang
332,ikan sepat segar,544,18.3,5.8,0,0,1.4,67,7,2,0.34,0.06,0.18,6,2,50,342,42,30,425,1.3,1.5,Makan Siang
333,ikan sidat,791,19,12,0,0,1,129,909,4,0.14,0.04,0.06,8,0,52,279,21,21,222,0.5,1.7,Makan Siang
334,ikan surung,351,18.2,0.7,0,0,0.2,44,11,1,0.07,0.06,0.22,10,1,62,195,11,34,110,0.4,0.5,Makan Siang
335,ikan tawes/ bader,665,16.3,10.4,0,0,1.7,40,27,0,0,0.14,0.46,8,0,136,296,26,26,192,0.8,0.4,Makan Siang
336,ikan tempel mentah,351,14.8,2.3,0,0,0.5,58,12,2,0.18,0.06,0.09,8,1,40,335,9,22,243,0.3,0.5,Makan Siang
337,ikan tengiri,469,21.4,2.3,0,0,0.7,33,43,1,0.06,0.07,0.32,11,0,55,461,48,86,228,0.9,0.4,Makan Siang
338,ikan teri asin kering,1402,58.6,9.4,0,0,2,57,0,0,0.1,0.27,0.41,28,0,3023,954,1703,140,1300,2.5,5.2,Makan Siang
339,ikan teri bubuk,1569,65.6,10.5,0,0,2.2,64,0,0,0.11,0.3,0.46,31,0,349,1067,1904,157,1456,2.8,5.8,Makan Siang
340,ikan teri goreng belu,1761,58.6,19.4,0,0,2.2,57,0,0,0.1,0.27,0.41,28,0,312,953,1700,140,1300,2.5,5.2,Makan Siang
341,ikan teri nasi kering,1402,58.6,9.4,0,0,2,57,0,0,0.1,0.27,0.41,28,0,312,953,1700,140,1300,2.5,5.2,Makan Siang
342,ikan teri segar,469,21.4,2.3,0,0,0.7,33,43,1,0.06,0.07,0.32,11,0,55,461,48,86,228,0.9,0.4,Makan Siang
343,ikan teri tawar kering,1402,58.6,9.4,0,0,2,57,0,0,0.1,0.27,0.41,28,0,312,953,1700,140,1300,2.5,5.2,Makan Siang
344,ikan terongan,469,21.4,2.3,0,0,0.7,33,43,1,0.06,0.07,0.32,11,0,55,461,48,86,228,0.9,0.4,Makan Siang
345,ikan tongkol,464,24,1,0,0,0.3,46,16,1,0.4,0.05,0.28,3,0,38,190,17,22,196,0.7,0.6,Makan Siang
346,ikan tongkol pindang,464,24,1,0,0,0.3,46,16,1,0.4,0.05,0.28,3,0,1974,190,19,22,196,0.7,0.6,Makan Siang
347,ikan wader,351,14.8,2.3,0,0,0.5,58,12,2,0.18,0.06,0.09,8,1,40,335,9,22,243,0.3,0.5,Makan Siang
348,ikan wedok,665,16.3,10.4,0,0,1.7,40,27,0,0,0.14,0.46,8,0,136,296,26,26,192,0.8,0.4,Makan Siang
349,ikan wedok kering,1121,46.9,7.5,0,0,1.6,46,0,0,0.08,0.22,0.33,22,0,250,762,1360,112,1040,2,4.2,Makan Siang
350,kepiting air tawar / yuyu,377,16.9,2,0,0,0.4,153,137,3,0.03,0.02,0.1,4,1,166,159,30,26,121,2.2,1.4,Makan Siang
351,kepiting laut,364,16.5,1.3,1.2,0,0.5,145,46,3,0.04,0.07,0.1,6,2,177,160,29,28,122,3.2,5.1,Makan Siang
352,kerang,431,14.3,2.7,4.4,0,0.7,34,32,1,0.01,0.23,0.04,8,0,221,161,20,22,171,4,1.6,Makan Siang
353,samba goreng sarden belu,205,2.8,3.7,1.7,0.4,0.3,6,35,0,0.02,0.04,0.1,7,7,24,124,6,8,37,0.3,0.1,Makan Siang
354,setrup / sirup,895,0,0,55.5,0,0,0,0,0,0.01,0.01,0.02,1,0,22,197,48,17,13,1.1,0.1,Cemilan
355,tebu,109,0,0,6.8,0,0,0,0,0,0,0,0,0,0,3,24,6,2,2,0.1,0,Cemilan
356,adonan kopi + gula pasir,1494,1.6,0,90.3,0,0,0,0,0,0,0.02,0,0,0,49,578,49,64,50,1.7,0,Cemilan
357,air gula - belu,33,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cemilan
358,teh manis belu,54,0,0,3.4,0,0,0,0,0,0,0,0,0,0,3,20,2,2,1,0,0,Cemilan
359,daun cincau,138,2.5,0.5,5.3,3.5,0.3,0,83,0,0.13,0.08,0.1,140,10,23,395,48,23,50,1.3,0.5,Cemilan
360,gula kopi,1494,1.6,0,90.3,0,0,0,0,0,0,0.02,0,0,0,49,578,49,64,50,1.7,0,Cemilan
361,jamu,4,0.1,0,0.1,0.1,0,0,2,0,0,0,0,3,0,0,8,1,0,1,0,0,Cemilan
362,jus alpukat susu,397,1.3,4.8,13,1.5,0.5,4,15,0,0.04,0.07,0.09,17,2,16,185,32,13,33,0.3,0.2,Sarapan
363,jus anggur,222,0.1,0.1,13.8,0.7,0,0,1,0,0.01,0,0.01,1,2,0,29,2,1,2,0.1,0,Sarapan
364,jus jeruk pepaya,213,0.2,0,13,0.6,0,0,34,0,0.01,0.01,0.01,11,18,1,74,8,3,2,0,0,Sarapan
365,jus jeruk peras,347,0.2,0.1,21.8,0.6,0,0,1,0,0.01,0.01,0.02,2,11,1,28,5,2,4,0.1,0,Sarapan
366,jus mannga,230,0.1,0.1,14.2,0.5,0,0,100,0,0.02,0.02,0.03,4,9,1,39,3,2,3,0,0,Sarapan
367,jus melon,197,0.2,0.1,12.1,0.2,0,0,81,0,0.01,0.01,0.03,4,11,2,77,3,3,4,0.1,0.1,Sarapan
368,jus papaya,201,0.2,0,12.4,0.5,0,0,34,0,0.01,0.01,0.01,10,16,1,64,6,3,1,0,0,Sarapan
369,minuman anggur,293,0.2,0,1.4,0,0,0,0,0,0,0.02,0.02,1,0,8,89,8,10,14,0.4,0.1,Cemilan
370,minuman buah vita,243,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cemilan
371,minuman go go strawbery,243,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cemilan
372,sprite fanta coca cola dll,172,0,0,10.4,0,0,0,0,0,0,0,0,0,0,4,1,3,1,12,0,0,Cemilan
373,susu milo/ milo choklat,1619,10.8,9.5,65.8,0,0.2,13,610,2,0.15,0.31,0.15,21,99,160,486,385,35,301,4,1.8,Cemilan
374,susu sgm (belu),79,0.9,0.8,2.1,0,0,1,17,0,0.01,0.02,0.01,2,1,13,39,31,3,24,0.3,0.1,Cemilan
375,teh,209,0,0,10,0,0,0,0,0,0,0,0,0,0,150,1000,100,100,50,0,0,Cemilan
376,teh cap bunga mawar,209,0,0,10,0,0,0,0,0,0,0,0,0,0,150,1000,100,100,50,0,0,Cemilan
377,teh kotak,209,0,0,10,0,0,0,0,0,0,0,0,0,0,150,1000,100,100,50,0,0,Cemilan
378,teh kotak,209,0,0,10,0,0,0,0,0,0,0,0,0,0,150,1000,100,100,50,0,0,Cemilan
379,teh manis,54,0,0,3.2,0,0,0,0,0,0,0,0,0,0,3,20,2,2,1,0,0,Cemilan
380,aci tusuk,1519,5.3,20.5,39.2,1.5,11.8,0,0,1,0.05,0.02,0.03,11,1,1,70,10,12,58,0.6,0.4,Cemilan
381,agar-agar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cemilan
382,arafik,2205,3,30.3,59.7,1.1,17.5,0,0,2,0.03,0.01,0.01,5,0,4,31,5,7,36,0.5,0.2,Cemilan
383,bakpau daging,1042,9.8,6.7,36.3,2,0.7,13,0,0,0.09,0.08,0.08,23,0,434,128,8,22,102,0.6,1.2,Makan Siang
384,bakso daging sapi,1548,23.5,29.9,0.1,0,1.2,104,10,0,0.07,0.16,0.31,8,0,55,318,6,21,187,1.6,3.8,Makan Siang
385,baso goreng,1720,22.2,35.2,0,0,5.2,95,8,1,0.07,0.15,0.29,7,0,51,300,6,20,176,1.5,3.6,Cemilan
386,baso kojak,812,5.9,1.4,38.4,1.4,0.2,3,4,0,0.06,0.03,0.03,10,1,3,74,8,12,61,0.7,0.5,Cemilan
387,batagor,636,12.1,11.3,1.4,0.9,2.3,22,0,0,0.08,0.07,0.12,13,0,18,173,80,83,120,4.5,1.6,Cemilan
388,bawang goreng,1519,5.3,20.5,39.2,1.5,11.8,0,0,1,0.05,0.02,0.03,11,1,1,70,10,12,58,0.6,0.4,Cemilan
389,bika ambon,1071,7.8,8,38.9,3.8,0.6,398,1901,6,0.15,0.33,0.39,63,28,78,511,61,32,167,2.5,1,Cemilan
390,biscuit,2121,10.4,17.5,78,1.2,6.2,25,99,1,0.12,0.33,0.13,19,2,101,302,215,30,216,0.8,1,Cemilan
391,biscuit astor,1870,7.5,14,73.7,1.2,6.1,13,50,1,0.08,0.18,0.07,14,1,51,175,111,20,132,0.7,0.7,Cemilan
392,biscuit barry sandwich,1870,7.5,14,73.6,1.2,6.1,13,50,1,0.08,0.18,0.07,14,1,51,175,111,20,132,0.7,0.7,Cemilan
393,biscuit big royal,1803,7.5,10,78.6,1.2,3.7,13,50,0,0.08,0.18,0.07,14,1,51,175,111,20,132,0.7,0.7,Cemilan
394,biscuit big royal,1803,7.5,10,78.6,1.2,3.7,13,50,0,0.08,0.18,0.07,14,1,51,175,111,20,132,0.7,0.7,Cemilan
395,biscuit bola bola,1870,7.5,14,73.6,1.2,6.1,13,50,1,0.08,0.18,0.07,14,1,51,175,111,20,132,0.7,0.7,Cemilan
396,biscuit coklat burbon,1870,7.5,14,73.6,1.2,6.1,13,50,1,0.08,0.18,0.07,14,1,51,175,111,20,132,0.7,0.7,Cemilan
397,biscuit coklat togo,1280,6.2,2.6,63.8,1.6,1.4,0,0,0,0.06,0.03,0.02,11,0,1,65,9,13,65,0.7,0.4,Cemilan
398,biscuit crackers konghuan,1870,7.5,14,73.6,1.2,6.1,13,50,1,0.08,0.18,0.07,14,1,51,175,111,20,132,0.7,0.7,Cemilan
399,biscuit cripsy crackers,1870,7.5,14,73.6,1.2,6.1,13,50,1,0.08,0.18,0.07,14,1,51,175,111,20,132,0.7,0.7,Cemilan
400,biscuit famela,1870,7.5,14,73.6,1.2,6.1,13,50,1,0.08,0.18,0.07,14,1,51,175,111,20,132,0.7,0.7,Cemilan
401,biscuit farley,1803,7.5,10,78.6,1.2,3.7,13,50,0,0.08,0.18,0.07,14,1,51,175,111,20,132,0.7,0.7,Cemilan
402,biscuit gabin special selecta (mentega.,1870,7.5,14,73.6,1.2,6.1,13,50,1,0.08,0.18,0.07,14,1,51,175,111,20,132,0.7,0.7,Cemilan
403,biscuit gem bunga (terigu. gula. tapiok,1870,7.5,14,73.6,1.2,6.1,13,50,1,0.08,0.18,0.07,14,1,51,175,111,20,132,0.7,0.7,Cemilan
404,biscuit gloria,1870,7.5,14,73.6,1.2,6.1,13,50,1,0.08,0.18,0.07,14,1,51,175,111,20,132,0.7,0.7,Cemilan
405,biscuit helti,1870,7.5,14,73.6,1.2,6.1,13,50,1,0.08,0.18,0.07,14,1,51,175,111,20,132,0.7,0.7,Cemilan
406,biscuit interbis,1870,7.5,14,73.6,1.2,6.1,13,50,1,0.08,0.18,0.07,14,1,51,175,111,20,132,0.7,0.7,Cemilan
407,biscuit isi kagang,2067,14,24.3,57.7,3.3,8.8,13,50,3,0.14,0.2,0.14,45,1,55,351,133,62,226,1.8,1.5,Cemilan
408,biscuit kacang,2067,14,24.3,57.7,3.3,8.8,13,50,3,0.14,0.2,0.14,45,1,55,351,133,62,226,1.8,1.5,Cemilan
409,biscuit kering/ bolu kering,866,4.4,2,42.9,0.6,0.3,72,32,0,0.03,0.1,0.03,11,0,22,45,12,7,54,0.5,0.3,Cemilan
410,biscuit london,1870,7.5,14,73.6,1.2,6.1,13,50,1,0.08,0.18,0.07,14,1,51,175,111,20,132,0.7,0.7,Cemilan
411,tempe goreng,1481,17.1,26.9,15.3,1.3,9.8,0,1,2,0.12,0.1,0.27,47,0,5,330,84,63,185,2.1,1.6,Cemilan
412,tempe bacem,992,10.8,15,17.6,1,8.6,0,0,1,0.08,0.07,0.14,27,0,5,195,79,69,121,3.1,1,Cemilan
413,tempe oreg/sayur tempe/sambal tempe,418,9.6,3.9,8.6,0.8,2.2,0,16,1,0.07,0.06,0.16,30,1,4,194,50,36,105,1.2,0.9,Cemilan
414,biscuit sun,1870,7.5,14,73.6,1.2,6.1,13,50,1,0.08,0.18,0.07,14,1,51,175,111,20,132,0.7,0.7,Cemilan
415,biscuit susana,1870,7.5,14,73.6,1.2,6.1,13,50,1,0.08,0.18,0.07,14,1,51,175,111,20,132,0.7,0.7,Cemilan
416,biscuit tini wini biti,2335,5.9,38.4,51,3.6,20,0,0,5,0.21,0.12,0.66,45,8,656,1008,24,58,157,1.5,0.6,Cemilan
417,ubi goreng,774,1.2,2.6,40.8,1.9,0.1,0,5,0,0.11,0.02,0.25,14,25,3,229,17,11,67,0.9,0.3,Cemilan
418,brondong,2247,6.5,30.9,61.5,5.8,17.5,0,0,2,0.31,0.16,0.24,20,0,28,230,5,102,193,2.8,1.4,Cemilan
419,uli goreng,1678,1.8,26.1,40.9,0.7,14,0,0,2,0.02,0.02,0.04,3,0,8,103,18,16,36,0.6,0.4,Cemilan
420,uli kukus,787,2.2,4.2,35.5,1.3,0.1,0,0,0,0.02,0.02,0.04,5,0,3,65,4,14,42,0.5,0.4,Cemilan
421,wafer coklat kero-kero rp.50 (terigu. g,1280,6.2,2.6,63.8,1.6,1.4,0,0,0,0.06,0.03,0.02,11,0,1,65,9,13,65,0.7,0.4,Cemilan
422,wafer,1280,6.2,2.6,63.8,1.6,1.4,0,0,0,0.06,0.03,0.02,11,0,1,65,9,13,65,0.7,0.4,Cemilan
423,wafer coklat pyramid,1280,6.2,2.6,63.8,1.6,1.4,0,0,0,0.06,0.03,0.02,11,0,1,65,9,13,65,0.7,0.4,Cemilan
424,choklat,1996,4.2,29.7,63.4,0,1,0,2,1,0.06,0.09,0.07,10,0,11,365,32,115,132,3.1,1.6,Cemilan
425,choklat eclair,1230,8.3,5.7,53.1,2.5,0.7,0,0,0,0.11,0.08,0.04,29,0,549,138,12,36,108,0.8,1,Cemilan
426,choklat jelly,92,0.3,0.9,3.4,0.1,0,0,0,0,0,0,0,1,0,0,13,1,4,6,0.1,0.1,Cemilan
427,cilok,1071,7.8,8,38.9,3.8,0.6,398,1901,6,0.15,0.33,0.39,63,28,78,511,61,32,167,2.5,1,Cemilan
428,cincau,4,0,0,0.2,0,0,0,0,0,0,0,0,0,0,3,20,2,2,1,0,0,Cemilan
429,cingloy,908,7.8,8,28.9,3.8,0.6,398,1901,6,0.15,0.33,0.39,63,28,78,511,61,32,167,2.4,1,Cemilan
430,cireng,1519,5.3,20.5,39.2,1.5,11.8,0,0,1,0.05,0.02,0.03,11,1,1,70,10,12,58,0.6,0.4,Cemilan
431,cireng/bakwan,2259,5.3,40.5,39.2,1.5,23.4,0,0,2,0.05,0.02,0.03,11,1,1,70,10,12,58,0.6,0.4,Cemilan
432,coconut milk with kluwih muda belu,364,0.9,3.5,15.1,3.4,0.1,0,2,1,0.05,0.02,0.16,8,15,3,281,10,16,26,0.5,0.2,Cemilan
433,coklat,1996,4.2,29.7,63.4,0,1,0,2,1,0.06,0.09,0.07,10,0,11,365,32,115,132,3.1,1.6,Cemilan
434,coklat beng beng,2092,7.5,23,66.6,1.2,11.3,13,50,1,0.08,0.18,0.07,14,1,51,175,111,20,132,0.7,0.7,Cemilan
435,coklat cha-cha,2092,7.5,23,66.6,1.2,11.3,13,50,1,0.08,0.18,0.07,14,1,51,175,111,20,132,0.7,0.7,Cemilan
436,corn bose and kacang tanah,661,6.7,12,8.5,2.5,3.8,0,0,2,0.08,0.04,0.08,32,0,6,186,22,48,105,1.3,0.9,Cemilan
437,cucur,1678,1.8,26.1,40.9,0.7,14,0,0,2,0.02,0.02,0.04,3,0,8,103,18,16,36,0.6,0.4,Cemilan
438,daging ayam goreng,1389,26.2,23.1,3.7,0.9,4.1,75,37,0,0.11,0.24,0.25,5,0,70,196,14,26,184,1.5,1.9,Makan Siang
439,daging babi goreng,1264,26.2,21.3,0,0,1.5,86,2,0,0.73,0.31,0.37,6,0,59,336,24,23,220,1,2.8,Makan Siang
440,daging sapi rebus,1879,23.8,29.8,22.2,2.3,1.2,83,8,0,0.11,0.23,0.86,24,9,49,688,10,48,198,1.8,3.9,Makan Siang
441,daging telur,1121,18.4,20.8,0.6,0,1.3,256,95,1,0.07,0.33,0.22,25,0,88,227,27,16,180,1.4,2.5,Makan Siang
442,dodol garut,787,2.2,4.2,35.5,1.3,0.1,0,0,0,0.02,0.02,0.04,5,0,3,65,4,14,42,0.5,0.4,Cemilan
443,dodol mannga,757,2.1,4.2,34.1,1.5,0.1,0,44,0,0.03,0.02,0.05,6,4,3,80,5,14,40,0.4,0.4,Cemilan
444,dodongkal,787,2.2,4.2,35.5,1.3,0.1,0,0,0,0.02,0.02,0.04,5,0,3,65,4,14,42,0.5,0.4,Cemilan
445,donat,1674,5.2,21.8,46.3,1,11.9,36,24,1,0.05,0.09,0.03,11,0,20,71,28,10,68,0.6,0.4,Cemilan
446,kerupuk gaplek,1523,2.6,0.7,88.5,3.7,0.2,0,14,0,0.31,0.05,0.7,36,72,6,583,46,24,170,2,0.7,Cemilan
447,kerupuk ikan berpati,1406,15.2,0.7,63.9,0.6,0.2,36,9,1,0.06,0.05,0.18,8,1,57,163,10,30,100,0.7,0.5,Cemilan
448,kerupuk ketan putih,1594,0.3,0.1,91.3,0.9,0,0,0,0,0,0,0,0,0,9,3,2,3,13,0.5,0.1,Cemilan
449,kerupuk legender,1259,2.5,0.7,73.4,3.5,0.2,0,14,0,0.3,0.05,0.67,35,69,5,559,44,23,161,1.8,0.7,Cemilan
450,kerupuk singkong,1205,2.4,0.7,70.2,3.3,0.2,0,13,0,0.29,0.04,0.64,33,66,4,535,42,22,154,1.8,0.7,Cemilan
451,kerupuk singkong pedas,1205,2.4,0.7,70.2,3.3,0.2,0,13,0,0.29,0.04,0.64,33,66,4,535,42,22,154,1.8,0.7,Cemilan
452,kerupuk terigu mentah,1523,10.3,1,76.3,2.7,0.4,0,0,0,0.1,0.04,0.04,18,0,2,107,15,22,108,1.2,0.7,Cemilan
453,kerupuk udang,2297,6.5,28.4,66.6,0.7,0.6,59,19,1,0.01,0.01,0.04,1,1,74,57,13,12,50,1.3,0.6,Cemilan
454,kerupuk udang berpati,1502,17.3,1,66.6,0.7,0.3,160,52,3,0.02,0.02,0.11,3,2,191,151,33,30,121,2.9,1.4,Cemilan
455,kerupuk upik singkong mentah,1314,2.6,0.7,76.6,3.6,0.2,0,14,0,0.31,0.05,0.7,36,72,5,583,46,24,168,1.9,0.7,Cemilan
456,ketupat,84,0.4,0,4.3,0,0,0,0,0,0,0,0.01,0,0,0,4,0,2,6,0,0.1,Cemilan
457,koci,858,3.4,4.2,38.7,2.3,0.2,0,0,0,0.05,0.03,0.06,36,0,3,107,8,22,65,0.8,0.6,Sarapan
458,kolang-kaling,812,0,0,50,0,0,0,0,0,0,0.01,0,0,0,1,1,1,0,1,0.1,0,Sarapan
459,lontong,787,2.2,4.2,35.5,1.3,0.1,0,0,0,0.02,0.02,0.04,5,0,3,65,4,14,42,0.5,0.4,Cemilan
460,lumpia,527,5,3.7,17.7,1,0.4,74,91,0,0.04,0.1,0.04,13,0,25,69,13,8,61,0.6,0.5,Cemilan
461,perkedel jagung,598,7.3,7.4,13.9,1.5,0.6,39,17,0,0.14,0.09,0.1,29,3,26,209,4,23,103,0.7,1.1,Cemilan
462,pipis/keyimus,774,1.2,2.6,40.8,1.9,0.1,0,5,0,0.11,0.02,0.25,14,25,3,229,17,11,67,0.9,0.3,Cemilan
463,pisang goreng,661,0.9,10.4,17.5,1.7,5.9,0,6,1,0.04,0.07,0.41,14,6,1,279,4,21,16,0.2,0.2,Cemilan
464,pisang molen,887,1.6,15.4,18.2,1.4,8.8,4,6,1,0.03,0.05,0.27,11,4,2,190,5,15,22,0.3,0.2,Cemilan
465,pop corn/lappo/benno,1841,6.9,18.1,65.4,6.2,10,0,40,2,0.33,0.17,0.26,21,0,30,244,5,108,205,3,1.5,Cemilan
466,promina,1619,14,1,78.1,0.7,0.2,5,3,0,0.15,0.4,0.22,18,3,130,482,315,58,338,0.5,1.9,Cemilan
467,rawon,866,4.4,2,42.9,0.6,0.3,72,32,0,0.03,0.1,0.03,11,0,22,45,12,7,54,0.5,0.3,Cemilan
468,rengginang,1728,6,10.5,71.5,0.8,6,0,0,1,0.05,0.05,0.13,5,0,0,73,8,33,93,0.5,1,Cemilan
469,rengginang ketan putih mentah,707,3.1,0.3,37.2,0.4,0.1,0,0,0,0.03,0.03,0.07,3,0,0,38,4,17,48,0.3,0.5,Cemilan
470,rengginang singkong mentah,1259,2.5,0.7,73.4,3.5,0.2,0,14,0,0.3,0.05,0.67,35,69,5,559,44,23,161,1.8,0.7,Cemilan
471,risoles,1033,10.3,7.6,33.3,1.4,0.5,60,19,0,0.09,0.1,0.18,15,4,25,233,13,21,108,1,1.2,Cemilan
472,bubur ayam,665,5.1,2.1,28.6,0.3,0.5,8,4,0,0.03,0.04,0.08,3,0,7,47,4,15,55,0.3,0.6,Sarapan
473,bubur beras bersantang purworejo,113,0.4,1.4,3.5,0.4,0,0,0,0,0,0,0.01,1,0,1,17,1,3,8,0.1,0.1,Sarapan
474,bubur campur belu,314,1.4,0.1,16.5,0.3,0.1,0,11,0,0.02,0.02,0.04,3,2,1,39,2,8,23,0.2,0.2,Sarapan
475,bubur cenil/bubur gintir/bubur candil,305,1.3,0.1,16,0.2,0.1,0,0,0,0.01,0.01,0.03,1,0,0,16,2,7,21,0.1,0.2,Sarapan
476,bubur halus campur susu belu,444,3.9,2.9,15.7,0.1,0.1,4,63,1,0.05,0.1,0.06,7,6,48,154,116,14,100,1.3,0.6,Sarapan
477,bubur havermuth,259,2.6,1,10.8,1.7,0.4,0,2,0,0.11,0.02,0.02,4,0,1,56,8,24,76,0.7,0.5,Sarapan
478,bubur kacang hijau belu,71,1.2,0.1,3.1,1,0,0,0,0,0.03,0.01,0.02,31,0,1,42,4,8,23,0.4,0.2,Sarapan
479,bubur kacang hijau with coconut milk,586,3.1,3.5,24.7,2.9,0.1,0,1,0,0.07,0.02,0.04,65,0,10,179,259,19,133,1.3,0.5,Sarapan
480,bubur kacang ijo and beras merah,473,3,0.2,24.8,2,0.1,0,1,0,0.07,0.03,0.05,63,0,1,92,8,20,58,0.8,0.5,Sarapan
481,bubur kacang ijo nestle,1732,14.2,9.8,65.8,0.4,0.3,13,210,2,0.18,0.33,0.22,24,19,160,526,389,53,352,4.3,2.3,Sarapan
482,bubur kacang ijo with sugar and water,310,2.3,0.2,16.2,2,0.1,0,1,0,0.06,0.02,0.03,62,0,1,84,7,16,47,0.8,0.4,Sarapan
483,bubur ketan hitam,636,1.1,3.4,30.1,1,0.1,0,0,0,0.01,0.01,0.02,3,0,2,45,3,7,23,0.3,0.2,Sarapan
484,bubur lunac belu,151,0.7,0.1,8,0.1,0,0,0,0,0.01,0.01,0.01,1,0,0,8,1,4,10,0.1,0.1,Sarapan
485,soto ayam,452,7.4,4.6,8.7,0.5,0.9,75,34,0,0.03,0.12,0.07,9,0,30,56,12,10,69,0.5,0.6,Makan Siang
486,soto daging,238,3.6,4.6,0,0,0.2,13,0,0,0.01,0.02,0.05,1,0,8,49,1,3,28,0.2,0.6,Makan Siang
487,sup ayam belu,180,4,2.8,0,0,0.6,12,6,0,0.01,0.04,0.04,1,0,11,27,2,3,27,0.2,0.3,Makan Siang
488,sup daging  belu,238,3.6,4.6,0,0,0.2,13,0,0,0.01,0.02,0.05,1,0,8,49,1,3,28,0.2,0.6,Makan Siang
489,sup kacang hijau  belu,121,1.9,0.1,5.2,1.6,0.1,0,1,0,0.05,0.02,0.03,52,0,1,70,6,13,39,0.6,0.3,Sarapan
490,sup kacang merah  belu,134,2.2,0.1,5.7,1.6,0.1,0,0,0,0.04,0.02,0.03,33,0,1,101,7,11,36,0.7,0.3,Sarapan
491,Bubur oatmeal,240,3,2,55,8,0.3,0,1,0.4,0.1,0.1,0.3,35,14,5,550,15,10,35,0.5,0.3,Sarapan
492,Bubur kacang merah,260,4,2.5,50,6,0.4,5,1,0.5,0.1,0.1,0.3,25,10,20,600,20,15,45,0.8,0.5,Sarapan
493,Bubur ayam dan labu,270,6,3,45,7,0.6,15,1.5,0.6,0.1,0.1,0.3,35,15,30,700,25,18,50,1.2,0.6,Sarapan
494,Nasi tim ayam,290,5,5,55,3,0.3,20,2,0.5,0.1,0.1,0.3,40,20,25,800,30,20,55,1,0.5,Makan Siang
495,Nasi tim daging sapi,310,7,8,70,2.5,0.4,30,3,0.7,0.1,0.1,0.4,45,25,20,750,35,22,60,1.2,0.4,Makan Siang
496,Nasi tim ikan,320,8,6,65,4,0.5,25,2.5,0.8,0.1,0.1,0.4,50,30,30,800,40,25,65,1.3,0.4,Makan Siang
497,Sup sayuran,300,6,3,60,6,0.2,10,2,0.5,0.1,0.1,0.3,30,20,10,600,25,18,50,1,0.3,Makan Malam
498,Bola-bola nasi dengan sayuran,310,7,4,62,4.5,0.3,15,2,0.6,0.1,0.1,0.3,40,25,15,700,30,20,55,1.2,0.5,Makan Malam
499,Omelet sayur,300,8,2,50,3,0.4,5,1.5,0.5,0.1,0.1,0.3,25,18,20,500,20,15,40,0.9,0.4,Makan Malam
500,Sup ayam dan kentang,260,4,1,30,5,0.3,0,1,0.4,0.1,0.1,0.2,20,15,15,400,15,12,30,0.6,0.3,Makan Malam
501,Bubur sereal,230,3,0.5,40,6,0.2,0,1,0.3,0.1,0.1,0.2,15,10,10,300,10,10,25,0.5,0.2,Makan Malam
